Ajax
Athletic Club
Atlético de Madrid
CD Leganés
CSKA Moskva
D. Alavés
FC Barcelona
Getafe CF
Girona FC
Levante UD
Melilla
Plzen
R. Valladolid CF
Rayo Vallecano
RC Celta
RCD Espanyol
Real Betis
Real Madrid
Real Sociedad
Roma
SD Eibar
SD Huesca
Sevilla FC
Valencia CF
Villarreal CF
